City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
405,Korla,41.7597,86.1469,23.32,54,100,7.92,CN,2022-01-30 02:01:03
406,Requena,39.4883,-1.1004,40.78,34,0,3.56,ES,2022-01-30 02:01:04
407,Ambulu,-8.345,113.6058,82.81,76,97,2.95,ID,2022-01-30 02:01:04
408,Ipixuna,-1.7625,-48.8043,75.15,98,100,2.77,BR,2022-01-30 02:01:05
409,Christchurch,-43.5333,172.6333,76.32,46,93,4.0,NZ,2022-01-30 01:57:00
410,Kiama,-34.6833,150.8667,87.01,69,99,5.01,AU,2022-01-30 02:01:05
411,Novopokrovka,49.8425,36.5477,28.78,95,91,9.64,UA,2022-01-30 02:01:06
412,Nizwa,22.9333,57.5333,63.64,48,0,1.05,OM,2022-01-30 02:01:06
413,Lokachi,50.737,24.6494,33.75,97,100,26.44,UA,2022-01-30 02:01:06
414,Namibe,-15.1961,12.1522,70.41,75,100,5.19,AO,2022-01-30 02:01:06
415,Bandarbeyla,9.4942,50.8122,75.78,71,100,21.23,SO,2022-01-30 01:57:19
416,Port Moresby,-9.4431,147.1797,81.34,76,100,11.9,PG,2022-01-30 02:01:07
417,Poya,-21.35,165.15,87.58,63,53,11.92,NC,2022-01-30 02:01:07
418,Bela,25.9333,81.9833,49.1,72,0,7.92,IN,2022-01-30 02:02:08
419,Hanchuan,30.65,113.7667,36.66,75,7,5.03,CN,2022-01-30 02:02:08
420,Kjollefjord,70.9457,27.3465,18.37,83,71,4.23,NO,2022-01-30 02:02:08
421,Flinders,-34.5833,150.8552,86.81,71,98,8.88,AU,2022-01-30 02:02:09
422,Pringsewu,-5.3582,104.9744,80.55,81,100,1.23,ID,2022-01-30 02:02:09
423,Teguise,29.0605,-13.564,61.02,72,0,14.97,ES,2022-01-30 02:02:10
424,Ocos,14.5094,-92.1933,77.72,71,67,4.63,GT,2022-01-30 02:02:10
425,Kamaishi,39.2667,141.8833,32.36,50,40,15.14,JP,2022-01-30 02:02:11
426,Zhob,31.3411,69.4481,45.75,47,49,1.07,PK,2022-01-30 02:02:11
427,Igrim,63.1906,64.4162,3.22,95,100,4.85,RU,2022-01-30 02:02:11
428,Geraldton,-28.7667,114.6,86.41,54,0,14.97,AU,2022-01-30 02:02:12
